,Tenure,Bandwidth_GB_Year,MonthlyCharge,Churn_Yes,Multiple_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,InternetService_DSL,Contract_Month-to-month
0,-1.0487462125145348,-1.138487026758293,-0.003942558795863967,0,0,1,0,0,0,1,0,0
1,-1.2620011592580802,-1.1858758365750726,1.6303258974820913,1,1,0,0,0,1,1,0,1
2,-0.709939803296579,-0.6121377506525425,-0.29522481741427764,0,1,0,0,0,0,1,1,0
3,-0.6595239638828064,-0.5618571466817585,-1.2265210716378776,0,0,0,0,0,1,0,1,0
4,-1.2425512017143743,-1.4281844686402452,-0.5280857047971815,1,0,0,0,1,1,0,0,1
5,-1.0409751428135001,-1.0767888928661473,0.2883698820424217,0,1,1,1,0,0,1,0,0
6,-0.8051442122278709,-0.6796212586964383,0.6402676647225805,1,0,0,0,1,1,1,1,1
7,-1.1444758337339471,-1.1041299460065446,-1.3430982633741453,1,0,1,0,0,0,0,1,1
8,-0.9948475885163598,-0.9516201278501973,-1.2844669060845046,0,0,1,0,0,0,0,1,1
9,-1.1763258177700682,-1.319603139560853,-0.23618767028397689,0,0,0,1,0,0,1,0,0
10,-0.5770772231059956,-0.3036692559674181,0.05433745551954222,0,1,1,0,0,1,0,1,1
11,-0.9078143071046398,-1.012157858334297,-0.527764868835358,0,0,0,1,0,1,0,0,1
12,-0.8136641324836795,-1.0049277035553403,-0.8193965142531648,0,0,0,0,0,1,0,0,1
13,-0.6673905557377415,-0.6606519202176776,0.28752742274395915,0,1,0,0,1,1,0,0,0
14,-0.9252790723682481,-0.8283261280844844,-0.2948056836666627,1,1,1,0,1,0,0,1,1
15,-0.7811957463028438,-0.7103868401018525,0.11704315239957072,1,0,0,0,0,1,1,0,0
16,-0.7088806634846492,-0.604966841184781,0.5202835849094483,1,1,1,1,0,0,1,1,1
17,-1.218636000354586,-1.1487550410882605,0.6999856072733608,1,0,0,1,1,1,1,0,0
18,-0.6586643495147995,-0.7135525973023463,-0.46887827730447623,0,0,1,1,1,1,0,0,0
19,-0.8214296515667315,-0.6581869982279508,-0.5281706586760181,1,1,0,0,0,1,0,1,1
20,-0.5321993969828047,-0.48601005518490786,0.28768908662194215,0,0,1,1,0,0,1,0,1
21,-1.2143752859646828,-1.280548499448172,-1.0509561028982644,0,0,0,1,0,0,0,0,0
22,-1.054162420093918,-1.2261101571312558,-1.1099082961497284,0,0,0,0,1,0,0,0,1
23,-0.9826308773775781,-1.1197956245812268,-0.5280857047971815,0,0,0,0,1,1,0,0,0
24,-1.0875153205165573,-1.1539420665647315,-0.2355068748634973,1,1,0,1,0,0,1,0,1
25,-1.1485071989623208,-1.1980894716016361,-1.866975020280065,1,0,0,0,0,0,0,1,1
26,-0.9122140515257888,-0.8630365474292174,1.164975772648398,1,0,0,1,0,1,1,0,1
27,-1.25308568712767,-1.360658197363495,-0.7601890867604595,1,0,1,1,0,1,0,0,1
28,-1.2516498984328337,-0.9760846270524461,0.640588500684404,1,0,0,1,0,1,1,1,0
29,-1.100544923191214,-0.7538103880389817,1.9800783851314638,1,1,1,1,0,1,1,1,0
30,-0.8866023841903011,-0.7307735469823262,1.3385895268468702,0,0,1,0,0,1,1,0,0
31,-1.1701197658139526,-1.327056348209172,-0.5853507438233292,0,1,1,0,1,0,0,0,0
32,-1.1269605980785402,-1.0883965188612057,1.3385895268468702,1,0,1,0,0,1,1,0,1
33,-0.515357688285214,-0.325637960287283,0.05433745551954222,1,1,1,0,0,1,0,1,1
34,-1.1744634661179154,-1.0573597060308366,2.2132683523558807,1,1,0,1,1,1,1,0,0
35,-1.098550980314668,-0.9987162631662837,-0.2361743263770214,1,1,1,0,1,0,0,1,1
36,-1.1804516554861881,-1.1416648784921675,1.3359816663294255,1,1,1,1,1,0,1,0,1
37,-1.0349026237845231,-0.9387813135210594,-0.7597302473211176,0,1,0,1,0,0,0,1,0
38,-0.9333207387803955,-1.0426335806062994,0.2873682506601193,0,0,1,0,1,0,1,0,0
39,-0.6990525517323531,-0.8522085595627125,-0.5857107032819852,0,0,1,1,0,0,0,0,0
40,-0.9585756452581669,-0.9528729024515141,-0.0038881119294389916,0,0,1,1,0,1,0,0,1
41,-1.1921811278961985,-1.1438136302193977,-1.517032853534441,0,0,0,0,1,0,0,1,1
42,-1.1573343176802533,-1.0373304772544547,1.9216367069380744,1,1,0,0,1,1,1,0,0
43,-0.6038404254573242,-0.6295261730645956,0.461841906716059,0,1,0,0,1,0,1,0,0
44,-0.9729992408161331,-0.9059206478209695,1.6303258974820913,1,1,0,0,0,1,1,0,0
45,-0.9132841365325185,-0.7695693630372736,1.6895333249747972,1,1,1,1,0,1,1,0,1
46,-0.4639909371848937,-0.4610389376855131,0.2873682506601193,1,0,1,0,1,0,1,0,1
47,-0.9492204971909545,-0.9968953665672087,0.5212132337151381,1,1,1,1,1,0,0,0,1
48,-1.0122593134363107,-1.2137782923297118,-1.5756974890841853,0,0,0,0,0,1,0,0,0
49,-0.8682032012376165,-1.141491117095143,-1.866209270980749,0,0,0,0,1,0,0,0,1
50,-1.179286103995116,-1.0827246866446159,0.28771763745951173,1,1,0,1,1,0,1,1,1
51,-1.028197013600445,-0.987603634487446,0.35004344052773684,1,0,0,1,0,1,1,0,1
52,-1.0982504698011073,-1.219561571144557,-0.527764868835358,0,0,0,1,0,1,0,0,1
53,-1.2470210102072885,-1.3451806654628662,-0.06241474400166477,1,1,0,0,0,1,0,0,0
54,-0.84890345578031,-0.9590338784769216,-0.2939743326467642,1,1,0,1,0,0,0,0,1
55,-0.7767841860936733,-0.7101059477125631,-0.9935207835097114,0,0,0,1,0,1,0,1,0
56,-0.9440689105057617,-0.9463779442668685,-1.3430982633741453,1,0,1,0,0,0,0,1,1
57,-1.0511123200381538,-1.113956572196924,-0.7011778356590141,0,0,0,1,1,0,1,0,0
58,-0.7112042140138669,-0.6971845015002373,1.1067043748174135,1,1,0,0,1,1,1,0,0
59,-1.0321779935297548,-1.2427450832676,-1.109587460187905,0,0,0,1,0,0,0,0,0
60,-1.1971666963493675,-1.0549910532099382,-0.1783876640142341,0,0,1,0,1,0,1,1,0
