CaseOrder,StateId,State,CountyId,County,Population,AreaId,Area,TimeZoneId,TimeZone,Children,Age,GenerationId,Generation,Income,MaritalId,Marital,GenderId,Gender,Churn,Outage_sec_perweek,Outage_sec_perweek2,Email,Contacts,Yearly_equip_failure,Techie,Techie2,ContractId,Contract,Port_modem,Port_modem2,Tablet,Tablet2,Tablet3,InternetService,InternetService2,Phone,Phone2,Multiple,Multiple2,OnlineSecurity,OnlineSecurity2,OnlineBackup,OnlineBackup2,DeviceProtection,DeviceProtection2,TechSupport,TechSupport2,StreamingTV,StreamingTV2,StreamingMovies,StreamingMovies2,PaperlessBilling,PaperlessBilling2,PaymentMethodId,PaymentMethod,Tenure,Tenure2,MonthlyCharge,MonthlyCharge2,Bandwidth_GB_Year,Bandwidth_GB_Year2,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8
1,10,AK,1284,Prince of Wales-Hyder,38,1,Urban,96,America/Sitka,0,68,1,Boomers,28561.99,4,Widowed,1,Male,No,8,7.978322947,10,0,1,0,No,1,One year,1,Yes,1,Yes,,Fiber Optic,Fiber Optic,1,Yes,0,No,1,Yes,1,Yes,0,No,0,No,0,No,1,Yes,1,Yes,1,Credit Card (automatic),6.8,6.795512947,172.46,172.455519,904.5,904.5361102,5,5,5,3,4,4,3,4
2,32,MI,1156,Ogemaw,10446,1,Urban,78,America/Detroit,1,27,4,Millennials,21704.77,1,Married,0,Female,Yes,11.7,11.69907956,12,0,1,1,Yes,0,Month-to-month,0,No,1,Yes,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,1,Yes,0,No,0,No,0,No,1,Yes,1,Yes,1,Yes,0,Bank Transfer(automatic),1.2,1.156680997,242.63,242.632554,801,800.9827661,3,4,3,3,4,3,4,4
3,47,OR,1703,Yamhill,3735,1,Urban,88,America/Los_Angeles,4,50,2,GerX,9609.57,4,Widowed,0,Female,No,10.8,10.75280028,9,0,1,1,Yes,2,Two Year,1,Yes,0,No,,#N/A,DSL,1,Yes,1,Yes,0,No,0,No,0,No,0,No,0,No,1,Yes,1,Yes,1,Credit Card (automatic),15.8,15.75414408,159.95,159.947583,2054.7,2054.706961,4,4,2,4,4,3,3,3
4,14,CA,1375,San Diego,13863,2,Suburban,88,America/Los_Angeles,1,48,2,GerX,18925.23,1,Married,1,Male,No,14.9,14.91353964,15,2,0,1,Yes,2,Two Year,0,No,0,No,,#N/A,DSL,1,Yes,0,No,1,Yes,0,No,0,No,0,No,1,Yes,0,No,1,Yes,11,Mailed Check,17.1,17.08722662,119.96,119.95684,2164.6,2164.579412,4,4,4,2,5,4,3,3
5,54,TX,622,Fort Bend,11352,2,Suburban,76,America/Chicago,0,83,5,Post War,40074.19,3,Separated,1,Male,Yes,8.1,8.147416533,16,2,1,0,No,0,Month-to-month,1,Yes,0,No,,Fiber Optic,Fiber Optic,0,No,0,No,0,No,0,No,0,No,1,Yes,1,Yes,0,No,0,No,11,Mailed Check,1.7,1.670971726,149.95,149.948316,271.5,271.4934362,4,4,4,3,4,4,4,5
6,20,GA,1215,Peach,17701,1,Urban,90,America/New_York,3,83,5,Post War,22660.2,2,Never Married,0,Female,No,8.4,8.420992898,15,3,1,0,No,1,One year,1,Yes,0,No,,None,None,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,0,No,0,No,1,Yes,0,No,10,Electronic Check,7,7.000993555,185.01,185.007692,1039.4,1039.357983,3,3,3,2,4,3,3,3
7,53,TN,1411,Scott,2535,2,Suburban,90,America/New_York,0,79,5,Post War,11467.5,4,Widowed,1,Male,Yes,11.2,11.18272453,10,0,1,1,Yes,0,Month-to-month,0,No,0,No,,#N/A,DSL,1,Yes,0,No,0,No,0,No,0,No,1,Yes,1,Yes,1,Yes,0,No,10,Electronic Check,13.2,13.23677381,200.12,200.118516,1907.2,1907.242972,6,5,6,4,1,5,5,5
8,46,OK,1165,Oklahoma,23144,2,Suburban,76,America/Chicago,2,30,4,Millennials,26759.64,1,Married,0,Female,Yes,7.8,7.791632265,16,0,0,1,Yes,0,Month-to-month,0,No,0,No,,#N/A,DSL,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No,0,No,1,Yes,11,Mailed Check,4.3,4.26425515,114.95,114.950905,979.6,979.6127078,2,2,2,5,2,3,4,5
9,19,FL,1182,Osceola,17351,2,Suburban,90,America/New_York,2,49,2,GerX,58634.51,3,Separated,2,Nonbinary,No,5.7,5.739005915,20,2,3,0,No,0,Month-to-month,1,Yes,0,No,,#N/A,DSL,1,Yes,0,No,1,Yes,1,Yes,0,No,0,No,0,No,0,No,1,Yes,0,Bank Transfer(automatic),8.2,8.220686373,117.47,117.468591,1312.9,1312.874964,5,4,4,3,4,3,4,4
10,45,OH,719,Hamilton,20193,3,Rural,90,America/New_York,1,86,5,Post War,50231.4,1,Married,0,Female,No,8.7,8.707823904,18,1,0,0,No,2,Two Year,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,1,Yes,11,Mailed Check,3.4,3.422086139,162.48,162.482694,508.8,508.7637913,2,2,2,2,5,2,3,3
11,48,PA,1512,Susquehanna,555,1,Urban,90,America/New_York,7,23,3,GerZ,22580.7,3,Separated,0,Female,No,9.3,9.341631685,9,0,2,0,No,0,Month-to-month,0,No,0,No,,#N/A,DSL,1,Yes,1,Yes,1,Yes,1,Yes,0,No,0,No,1,Yes,0,No,0,No,11,Mailed Check,19.3,19.26726194,174.96,174.958118,2728.8,2728.767869,4,4,4,7,3,3,3,4
